chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\main\java\org\jfree\chart\axis\LogAxis.java, LogAxis, 965, 398, 0.41243523316062175, 85, 0.004852179213654374
src\main\java\org\jfree\chart\axis\LogTick.java, LogTick, 72, 53, 0.7361111111111112, 1, 0.7361111111111112
src\main\java\org\jfree\chart\axis\MarkerAxisBand.java, MarkerAxisBand, 242, 104, 0.4297520661157025, 15, 0.028650137741046834
src\main\java\org\jfree\chart\axis\ModuloAxis.java, ModuloAxis, 398, 182, 0.457286432160804, 35, 0.01306532663316583
src\main\java\org\jfree\chart\axis\MonthDateFormat.java, MonthDateFormat, 230, 127, 0.5521739130434783, 16, 0.03451086956521739
src\main\java\org\jfree\chart\axis\NumberAxis.java, NumberAxis, 1024, 425, 0.4150390625, 101, 0.004109297648514852
src\main\java\org\jfree\chart\axis\NumberTick.java, NumberTick, 84, 60, 0.7142857142857143, 1, 0.7142857142857143
src\main\java\org\jfree\chart\axis\NumberTickUnit.java, NumberTickUnit, 139, 79, 0.5683453237410072, 10, 0.05683453237410072
src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java, NumberTickUnitSource, 214, 52, 0.24299065420560748, 39, 0.006230529595015576
src\main\java\org\jfree\chart\axis\package-info.java, package-info, 4, 3, 0.75, 1, 0.75
src\main\java\org\jfree\chart\axis\PeriodAxis.java, PeriodAxis, 1098, 424, 0.3861566484517304, 101, 0.00382333315298743
src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java, PeriodAxisLabelInfo, 320, 157, 0.490625, 24, 0.020442708333333334
src\main\java\org\jfree\chart\axis\QuarterDateFormat.java, QuarterDateFormat, 177, 91, 0.5141242937853108, 13, 0.03954802259887006
src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java, StandardTickUnitSource, 119, 75, 0.6302521008403361, 7, 0.0900360144057623
src\main\java\org\jfree\chart\axis\SubCategoryAxis.java, SubCategoryAxis, 397, 160, 0.40302267002518893, 36, 0.01119507416736636
src\main\java\org\jfree\chart\axis\SymbolAxis.java, SymbolAxis, 681, 257, 0.37738619676945667, 58, 0.006506658564990633
src\main\java\org\jfree\chart\axis\Tick.java, Tick, 157, 87, 0.554140127388535, 13, 0.04262616364527193
